,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,gweta,20,BW,1545781607,52,-20.21,25.26,79.67,13.56
1,noumea,75,NC,1545780600,69,-22.28,166.46,80.6,13.87
2,cabo san lucas,5,MX,1545778080,53,22.89,-109.91,86.0,14.99
3,punta arenas,40,CL,1545778800,62,-53.16,-70.91,53.6,11.41
4,albany,20,US,1545779820,55,42.65,-73.75,28.94,12.75
5,castro,68,CL,1545778800,54,-42.48,-73.76,57.2,4.7
6,cape town,75,ZA,1545778800,83,-33.93,18.42,69.8,17.22
7,pevek,68,RU,1545781608,99,69.7,170.27,-16.73,9.31
8,ushuaia,75,AR,1545778800,68,-54.81,-68.31,46.4,12.75
9,ribeira grande,92,PT,1545781609,100,38.52,-28.7,62.88,21.5
10,barrow,0,AR,1545781609,29,-38.31,-60.23,87.77,11.99
11,hermanus,20,ZA,1545781610,87,-34.42,19.24,65.36,6.4
12,hithadhoo,48,MV,1545781610,100,-0.6,73.08,81.47,1.36
13,upernavik,12,GL,1545781611,100,72.79,-56.15,8.66,18.59
14,fortuna,0,ES,1545778800,87,38.18,-1.13,50.0,6.93
15,butaritari,92,KI,1545781611,100,3.07,172.79,81.74,14.45
16,lumby,90,CA,1545778800,74,50.25,-118.97,35.6,1.81
17,atuona,64,PF,1545781612,100,-9.8,-139.03,81.02,17.58
18,chuy,0,UY,1545781612,84,-33.69,-53.46,69.18,16.91
19,ponta do sol,56,BR,1545781613,98,-20.63,-46.0,66.03,3.49
20,bichena,0,ET,1545781613,67,10.45,38.2,44.39,1.92
21,kulhudhuffushi,44,MV,1545781613,100,6.62,73.07,81.78,8.63
22,vila velha,40,BR,1545778800,94,-3.71,-38.6,75.2,10.29
23,balkhash,0,KZ,1545781614,75,46.84,74.98,-11.82,13.33
24,vaini,0,IN,1545781615,90,15.34,74.49,66.57,1.81
25,vostok,32,RU,1545781615,54,46.45,135.83,-5.88,6.96
26,isangel,44,VU,1545781615,99,-19.55,169.27,80.25,14.67
27,churapcha,12,RU,1545781616,53,62.0,132.43,-31.4,4.16
28,jamestown,0,AU,1545781616,17,-33.21,138.6,94.52,10.09
29,nikolskoye,90,RU,1545780600,86,59.7,30.79,30.2,13.42
30,kirakira,92,SB,1545781617,100,-10.46,161.92,79.58,6.17
31,ahipara,0,NZ,1545781617,84,-35.17,173.16,68.6,18.37
32,bredasdorp,0,ZA,1545778800,64,-34.53,20.04,71.6,3.36
33,sobolevo,64,RU,1545781618,87,54.43,31.9,13.34,6.62
34,rolla,1,US,1545778560,58,37.95,-91.77,51.08,6.93
35,qaanaaq,0,GL,1545781618,91,77.48,-69.36,-21.41,4.83
36,rikitea,64,PF,1545781619,100,-23.12,-134.97,78.59,14.23
37,port elizabeth,75,US,1545778560,63,39.31,-74.98,39.02,4.7
38,cidreira,32,BR,1545781619,77,-30.17,-50.22,71.97,16.91
39,bethel,40,US,1545778560,82,60.79,-161.76,1.04,17.22
40,gondanglegi,100,ID,1545781620,98,-7.75,112.01,71.39,4.5
41,kapaa,40,US,1545778560,71,22.08,-159.32,80.96,11.41
42,puerto ayora,75,EC,1545778800,69,-0.74,-90.35,82.4,14.99
